ID,Disease1,Disease2,Native_Water,Fish,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,Causes,Treatments,Vet_Advised,Medicine1,Medicine2,Medicine3,Medicine4,Medicine5,Medicine6,Medicine7,Medicine8
10,Ammonia Poisoning,Nitrite poisoning,ALL,,Gasping at the surface,Red or inflamed gill,,,,,,,,,,,"Ammonia can enter the tank through a number of different ways. 
The first way is through chemically treated tap water. 
Overfeeding and lack of cleaning add to a buildup of the bacteria that feed on this superfluous matter, resulting in an ammonia byproduct. 
Fish, themselves, also contribute to rising ammonia levels in tanks. 
When a fish eats food, the protein-building process that ensues (in order for them to grow larger) can produce a byproduct that enters their blood. 
This results in the seepage of ammonia through their gills and into the tank.","If the ammonia level in your tank rises above 1 ppm (part per million) on a standard test kit, begin treatment immediately. 
Lowering the pH of the water will provide immediate relief, as will a 50 percent water change (be sure the water added is the same temperature as the aquarium). 
Several water changes within a short period of time may be required to drop the ammonia below 1 ppm.
If the fish appear to be severely distressed, use a chemical pH control product to neutralize the ammonia. 
At this point, restrict feedings so that additional waste is reduced. 
In cases of very high ammonia levels, feedings need to be discontinued for several days. 
And obviously, no new fish should be added to​ the tank until both the ammonia and nitrite levels have fallen to zero.",FALSE,Chemical pH Control Product,,,,,,,
11,Anchor Worms,Learnea spp,Freshwater,,Flashing or Rub against bottom or objects in the tank,Red or inflamed scales,Worm on body,White greenish thread on body,,,,,,,,,"Anchor worms are macroscopic parasites, and can be seen by the naked eye. 
They are commonly found on koi and goldfish, but can be found on many freshwater fish species. 
The ""worm"" part extending out into the water is actually the female reproductive structures.
Anchor worms occur when a new fish is added to an aquarium carrying juvenile anchor worms or a reproductively-active female in their skin. 
Skipping proper quarantine makes this parasite spread very rapidly. 
A single female anchor worm can produce hundreds of larvae every two weeks for up to 16 weeks in a 77F (25C) tank.
Anchor worm juveniles can also be spread with the introduction of live plants. 
Aquatic plants can bring parasites like anchor worm into your aquarium if not properly quarantined.","Anchor worms need to be removed correctly with a fish under sedation by your veterinarian. 
They will need to remove the entire parasite including the feeding end from under the fish’s skin. 
Depending on the level of infestation, sedation makes the process less stressful for the fish and allows the veterinarian to work more effectively without a squirming fish.
Once the mature females have been removed, you may still have a microscopic problem: the juvenile stages. 
Over-the-counter ""anchor worm"" treatments are usually fairly effective against the juvenile stages, but they will not kill the adults. 
Another way of killing the free-swimming juvenile stage in the aquarium can be accomplished by removing your substrate and decor and running your water through a UV light.
Treating anchor worms with organophosphates or diflubenzuron (dimilin) is effective, but needs to be undertaken with severe caution. 
Only use veterinary-approved products, keep them away from your other pets and children, and make sure to wear proper protection (i.e., gloves) when handling medications.
The sites of adult attachment may also develop secondary bacterial infections.",TRUE,Organophospates,Diflubenzuron (Dimilin),,,,,,
12,CO2 Poisoning,,ALL,,Breathing rapidly,Gasping at the surface,Spend time on surface,,,,,,,,,,"CO2 poisoning in fish can be caused by your CO2 reactor not working, or your plants not absorb CO2 due to the lights not working properly.",The best way for you to treat CO2 poisoning in your fish is to use an air stone to agitate the surface. This causes the carbon dioxide to dissipate from the water. You can also adjust the rate of CO2 injection in your tank,FALSE,,,,,,,,
13,Constipation,,ALL,,Bloated abdomen or belly,Swimming difficulty,Erratic swimming,,,,,,,,,,"Fish in poor water quality have reduced appetites, refusing to eat when ammonia or nitrite rises. 
They then start to defecate their mucosal gut lining, leading to a milky, transparent poop and a constipation misdiagnosis.
Temperature changes can cause bloating or blockages. 
The metabolisms of temperate fish are temperature driven, and as things cool their gut flora becomes less efficient, causing slow digestion.
Internal tumours may press against the stomach or intestine, making it difficult to pass food through.
Physical deformities, such as those in Balloon fish or goldfish, cause organs to be displaced or press against each other.
Physical blockages occur in ‘grubbing’ fish like goldfish, which have evolved to take in mouthfuls of sand, silt and mud. 
When placed into a tank with pea gravel, it may be swallowed, blocking the oesophagus.
Physical blockages will require a vet, as it is likely you’ll damage the fish trying to remove any obstruction. 
Incorrect diet is a major player. While many fish are extremely versatile in their eating habits, some foods simply do not suit some fish.
Surface feeding plays a role, especially in goldfish. Goldfish are phyostomous, with a duct between the swim bladder and the oesophagus, for the purpose of getting air into the swim bladder.
When goldfish feed on floating flakes or pellets, they are prone to swallowing down gulps of air with them. Once inside them, it not only interferes with digestion but also causes buoyancy issues.
Stale or spoiled dry food is also a common issue.
Lack of fibre is something that can cause constipation, but not with any particular regularity, and almost always only in tandem with offering improper diet or stale foods.","One of the easiest ways to treat a constipated fish is to increase the amount of fiber in their diet and if necessary, deworm your fish. 
Another way to treat constipation is to dose your tank with Epson salt. 
Adding 1 to 3 teaspoons of salt per every 5 gallons of water will help. 
Epson salt will act as a muscle relaxant and help them be able to poop easier.",FALSE,Epson Salt,,,,,,,
14,Fish Lice,Argulus spp,ALL,,Dots on fish body or condensed at fin attachments,Pale gill,Skin Ulcer,Flashing or Rub against bottom or objects in the tank,Pale skin color,Lethargic behavior,grey or green dots on skin,,,,,,"Lice will enter your aquarium system undetected on an infested fish. 
If not properly quarantined, your fish and its low lice load will quickly spread throughout your system. 
Juvenile lice are microscopic and may not be noticed until they grow into adults. 
By holding new fish in quarantine, you will catch the adults before they spread and treatment will be significantly simpler.","The most effective treatment against argulusosis is organophosphates, which usually are given as 2 or 3 doses at 1-wk intervals to kill emerging larvae and juveniles.
Because adult fish lice continue to molt, they are susceptible to chitin synthesis inhibitors, such as the pesticide diflubenzuron (restricted use).
Other compounds with a similar mechanism of action as that of diflubenzuron, such as lufenuron (0.13 mg/L; Program, Novartis Animal Health), have also been used with success.
Oral enamectin is also effective. 
Other treatments of Argulus infestations include the use of common chemicals such as salt (NaCl), formaldehyde, potassium permanganate (2-5mg/l bath), and formalin
Two applications of trichlorfon (0.25 ppm; Masoten, Dylox) 1 wk apart can be used as well.
To eradicate Argulus, treatments such as trichlorfon (0.25 ppm for several hours) and emamectin benzoate have been used.
It can take about 2 mo for Argulus to complete their life cycle; therefore, it is useful to rid tanks of egg contamination by using a disinfectant or by allowing the tanks to dry thoroughly for several days.
Manual removal by vets can be help infected fish.",TRUE,Organophosphates,Lufenuron,Oral Enamectin,Salt,Formaldehyde,Potassium Permanganate,Trichlorfon,Emamectin Benzoate
15,Flukes,Flatworms,ALL,,Scale loss,Pale skin color,Lethargic behavior,Loss of appetite,Sudden Death,,,,,,,,"Flukes are commonly found on many pet and cultured fish in very low levels. 
At such low, subclinical levels, healthy fish are able to keep the parasites from replicating at high speed and therefore do not require treatment.
If a fish is stressed, such as from poor water quality, other disease, capture, handling, or transport, the fish's immune system becomes suppressed and is not able to keep most parasites at bay. 
The flukes are then able to reproduce more favorably which also depends on the water temperature; flukes will replicate very quickly in warmer water.","Treatment for flukes will vary based on the water type (freshwater vs. saltwater), number of fish affected and aquarium size.
Duration of treatment will depend on which genus of fluke is present and the aquarium water temperature. 
Consult with an aquatic veterinarian in order to ensure your diagnosis is correct and treatment is appropriate.
Depending on your situation, your veterinarian may recommend a medicated bath, oral medications, injections, or a combination of treatments. 
Severe infestations will respond fastest to injectable medication. 
Oral medication will depend on if your fish are eating or not. 
Bath treatments can destroy your carefully cultivated biological filtration if not administered properly.",TRUE,,,,,,,,
16,Gill Mite,Water Mites,ALL,,Gills not fully close,Gasping at the surface,Spend time on surface,Breathing rapidly,Clamped fins,Flashing or Rub against bottom or objects in the tank,,,,,,,"Gill mites that thrives on the blood of its victims, along with their skin particles.
Gill mites are usually introduced via an infected fish.
Fish are most susceptible to Gill Mites when they are under stress, or when a change has occurred in the temperature of the water or its chemical equilibrium. 
The stress and or water changes will adversely impact the immune system of the fish","Gill mites can be treated using octozin and sterazin. 
These products must be applied for a total of five days so that new hatchlings can be killed off which weren’t identified with the first treatment. 
Antibiotics also help since they can deal with secondary infections resulting from lesions that the parasite has created.",FALSE,Octozin,Sterazin,Antibiotics,,,,,
17,Hole in the head,Hexamita,Saltwater,Flowerhorn Cichlid,Ulcer on head,Ulcer on lateral line,Loss of appetite,Lethargic behavior,Pale gill,Patchy or darker body,White stringy faeces,,,,,,"There is no singular cause for hole-in-the-head disease, and there are some species of fish that seem predisposed to it, such as Tangs and Surgeonfish.
Although occasionally caused by a parasite (Hexamitid spp.), it is not commonly found with most infections. 
Many stressors, such as poor water quality or diet, can start the chain of events that lead to hole-in-the-head disease.
Other possible causes or influences on the progression of hole-in-the-head disease include:
Stray voltage
Stressors including aggression and poor water quality
Nutritional deficiencies
Use of activated carbon","Your veterinarian will narrow down the potential influences and usually suggest a multi-step approach. 
They may recommend an anti-parasitic medication in addition to better maintenance practices and other methods to alleviate stress in your system. 
If aggressive fish play a role in your tank, such as fighting over territory or some fish stealing food out of the gills of other fish, you may need a long term solution including rehoming some fish. Remove all carbon from your system and make sure all of your filters are properly hooked up and not discharging extra voltage.
Depending on the severity of the lesions, your fish may or may not regain their original appearance. 
Although complete resolution is possible, your fish will likely have some mild color variation in healed patches of skin. 
Severe lesions may never fully heal.",TRUE,Anti-Parasitic Medication,,,,,,,
18,Slime disease,,Freshwater,,Thick skin mucus,grey or white blue mucus,Breathing rapidly,Flashing or Rub against bottom or objects in the tank,Lethargic behavior,Loss of appetite,,,,,,,"Slime disease in marine fish is usually caused by a different parasite, Brooklynella hostilis, sometimes called clownfish disease after the fishes it most commonly affects.
Like most fish diseases, this occurs when fish become stressed. 
Stress can be exacerbated by poor water conditions, over-crowding, malnutrition or sudden changes in temperature. 
If the mucus coat covers the fish’s gills they can suffocate to death.","Effective treatments include levamisole, metronidazole or praziquantel. 
Metronidazole and praziquantel are especially effective when used as food soaks. 
Antibiotics such as nitrofurazone or erythromycin may also help prevent secondary bacterial infections",FALSE,Levamisole,Metronidazole,Praziquantel,Nitrofurazone (Antibiotics),Erythromycin (Antibiotics),,,
19,Ichthyobodo,Costia,ALL,,Thick skin mucus,Skin Ulcer,Scale loss,Clamped fins,Flashing or Rub against bottom or objects in the tank,,,,,,,,"Costia is a parasite that is single celled and thrives in cold water. 
It will multiply quickly in this environment and can cause considerable harm to any fish it comes into contact with.","One of the most effective and affordable is with salt. 
This method is most gentle for the fish, especially goldfish which can handle higher salt levels in the water. 
When using this method it is best to start with between three and four grams of salt per liter. 
This should be sufficient unless the Costia has begun producing strains which are salt resistant.

Another method of treating Costia is with Formalin. 
This is the best option in situations where the parasite has become resistant to salt. 
You will want to use fifty parts per million for about 2 hours and then change fifty percent of the water. 
This sequence should be repeated two more times. 
Hydrogen peroxide is another substance that can be used to eliminate Costia. 
It is most ideal for bigger fish with patches. 
You can soak a cotton bud in the solution and then dab the areas that need to be treated",FALSE,Salt,Formalin,Hydrogen Peroxide,,,,,
20,Polycystic Kidney Disease,,ALL,,Bloated abdomen or belly,Scales stick out,Eyes protruding,Lethargic behavior,Loss of appetite,Rapid gill movement,Sudden Death,,,,,,"There are a handful of parasites that are known to cause kidney disease in fishes.
This is especially true for fishes living in seemingly reasonably environments and has sudden kidney failure. 
Otherwise, adverse living conidtions can cause bacteria induced kidney diseases due to weaken immunity.",No known treatment for this disease,FALSE,,,,,,,,
21,Vibrosis,,ALL,,Skin Ulcer,Signs of bleeding,Scale loss,Sudden Death,Bloated abdomen or belly,Inflamed anus,Frayed Tail,,,,,,"Vibriosis is caused by an infection of Vibrio bacteria species. 
There are many bacteria present at all times within the aquatic environment. 
More severe Vibrio strains may enter a fish system that ignores strict quarantine practices.
Immunocompromised fish, such as those stressed by poor water quality, bullying or lack of sufficient nutrition, are more susceptible to bacterial infection. 
Traumatic wounds are also potential areas of increased bacteria growth.
Vibrio bacteria are known to be more problematic in warmer temperatures.","If you suspect your fish is infected with Vibriosis, move them to a hospital or quarantine tank. 
Test your water chemistry to make sure your levels are within normal range, evaluate your fish's diet, and consider separating any aggressive tank mates. 
Secondary stress goes a long way in making Vibrio infections worse.
Over-the-counter antibiotics are not effective against Vibriosis. 
There are many known resistant strains of Vibrio that require the correct treatment. 
Once a diagnostic culture and sensitivity test has been performed, your veterinarian will determine the best course of action. 
Antibiotics can be given directly to the fish as an injection, formulated into a feed, or may require a water-based treatment.",TRUE,Antibiotics,,,,,,,
22,Lymphocystis,Cauliflower Disease,ALL,,Greyish or cream patches on skin and fins,Whte or pinkish bumps on skin or fins,White film on skin,spots clumps together like cauliflower,,,,,,,,,"As with many other aquatic viruses, lymphocystis can spread horizontally throughout a system through infected water.
Lymphocystis has a latent stage, where a fish may be carrying the virus, but not show any clinical signs.
Usually, a secondary stress trigger, such as poor husbandry or water quality issues, trigger the virus to replicate and the fish to start showing clinical signs. 
Once a fish is carrying lymphocystis, it can potentially spread it to any other fishes in the same system","There is no treatment for lymphocystis in any species or system other than supportive care. 
It is critical to correctly diagnose the cause of any lumps on your fish and take deliberate steps to decrease any stressors in your tank.
Stress impairs immune function in fish and can often lead to a lymphocystis outbreak.
Asymptomatic carriers may be present in your system and never show any clinical signs, so identifying a virus-positive fish can be difficult.
The virus is often self-limiting, but may take weeks to resolve with supportive care. 
Try to be patient and provide good water quality and a proper diet as your fish recovers. 
You can move them to a quarantine system, but the virus will already have spread around your tank once a fish shows clinical signs",FALSE,,,,,,,,
23,Ichthyosporidium,Internal Fungal Infection,ALL,,Swimming difficulty,Hollowed belly,Swimming difficulty,Skin Ulcer,Signs of bleeding,,,,,,,,"Cause of this disease is fungus Ichthyophonus hoferi.
The most common cause is due to introduction of this fungi through fish feed / new fish.
Like most of such fungus, Ichthyophonus hoferi thrive in bad water conditions.
Immunosuppressed or stressed or injured fishes are more likely to be infected.","This is incurable disease. 
Quick quarantine must be performed.
The sick fish might need euthanasia if conditions worsen. 
The rest of the tank should be disinfected.",FALSE,,,,,,,,
